state;action_reward;n_state
887&4|880&5|690&2|310&4|292&4|346&3|332&3|350&2|302&3|750&5|300&4|270&3;343&2|335&3|689&3|895&2;887&4|880&5|690&2|310&4|292&4|346&3|332&3|350&2|302&3|750&5|300&4|270&3|343&2|335&3|689&3|895&2
83&4|288&1|128&5|739&1|222&4|358&3|147&5|229&2|197&5|17&4|213&3|431&1;150&5|167&3|1033&3|142&4;83&4|288&1|128&5|739&1|222&4|358&3|147&5|229&2|197&5|17&4|213&3|431&1|150&5|167&3|1033&3|142&4
134&5|186&5|483&5|22&5|257&4|289&5|1159&5|252&2|168&4|96&5|28&5|11&3;68&4|176&3|651&5|207&5;134&5|186&5|483&5|22&5|257&4|289&5|1159&5|252&2|168&4|96&5|28&5|11&3|68&4|176&3|651&5|207&5
313&5|306&4|879&5|269&3|750&3|682&3|268&4|338&2|689&3|751&3|307&4|302&4;880&4|261&3|358&3|259&2;313&5|306&4|879&5|269&3|750&3|682&3|268&4|338&2|689&3|751&3|307&4|302&4|880&4|261&3|358&3|259&2
283&4|111&3|147&5|685&3|235&5|100&5|313&5|1016&5|255&3|289&4|117&5|748&2;476&1|1132&3|1244&3|1283&2;283&4|111&3|147&5|685&3|235&5|100&5|313&5|1016&5|255&3|289&4|117&5|748&2|476&1|1132&3|1244&3|1283&2
737&3|42&3|1252&4|751&3|188&3|60&5|1097&4|182&4|730&3|189&5|174&3|184&2;200&4|809&1|27&1|318&4;737&3|42&3|1252&4|751&3|188&3|60&5|1097&4|182&4|730&3|189&5|174&3|184&2|200&4|809&1|27&1|318&4
475&4|504&4|258&3|98&5|435&5|129&4|443&3|12&4|86&4|56&4|237&4|176&4;234&4|28&3|121&2|333&2;475&4|504&4|258&3|98&5|435&5|129&4|443&3|12&4|86&4|56&4|237&4|176&4|234&4|28&3|121&2|333&2
137&4|246&4|820&2|482&2|288&3|1163&5|1068&3|235&3|321&3|23&4|825&3|14&3;112&3|300&3|880&3|596&3;137&4|246&4|820&2|482&2|288&3|1163&5|1068&3|235&3|321&3|23&4|825&3|14&3|112&3|300&3|880&3|596&3
325&4|127&4|156&3|223&4|651&5|304&3|260&3|500&3|328&3|216&4|15&5|270&4;318&5|222&5|432&5|372&5;325&4|127&4|156&3|223&4|651&5|304&3|260&3|500&3|328&3|216&4|15&5|270&4|318&5|222&5|432&5|372&5
99&5|135&3|71&5|124&4|496&5|193&5|315&4|272&5|216&4|892&3|50&5|261&4;659&5|584&4|210&4|97&5;99&5|135&3|71&5|124&4|496&5|193&5|315&4|272&5|216&4|892&3|50&5|261&4|659&5|584&4|210&4|97&5
116&4|32&4|157&2|92&3|448&3|147&3|230&2|546&3|209&4|288&3|7&4|200&3;268&4|302&4|347&3|307&4;116&4|32&4|157&2|92&3|448&3|147&3|230&2|546&3|209&4|288&3|7&4|200&3|268&4|302&4|347&3|307&4
687&1|261&2|990&4|262&3|294&5|325&4|288&4|269&4|302&4|690&4|319&3|678&4;875&3|988&2|948&4|1048&5;687&1|261&2|990&4|262&3|294&5|325&4|288&4|269&4|302&4|690&4|319&3|678&4|875&3|988&2|948&4|1048&5
283&4|132&4|116&4|24&3|70&5|408&5|462&4|4&4|746&5|191&5|176&4|175&4;680&1|31&4|511&3|313&5;283&4|132&4|116&4|24&3|70&5|408&5|462&4|4&4|746&5|191&5|176&4|175&4|680&1|31&4|511&3|313&5
124&4|300&3|15&3|10&4|270&4|276&5|129&4|285&5|277&3|286&5|273&4|475&3;473&4|240&3|823&3|405&3;124&4|300&3|15&3|10&4|270&4|276&5|129&4|285&5|277&3|286&5|273&4|475&3|473&4|240&3|823&3|405&3
1101&4|1&4|202&4|32&3|412&4|451&5|959&4|100&5|684&4|235&2|318&5|410&3;122&2|1221&2|282&3|403&2;1101&4|1&4|202&4|32&3|412&4|451&5|959&4|100&5|684&4|235&2|318&5|410&3|122&2|1221&2|282&3|403&2
358&3|898&1|300&4|988&3|263&3|271&4|690&4|310&4|289&4|335&2|270&5|750&4;892&1|266&2|901&1|893&3;358&3|898&1|300&4|988&3|263&3|271&4|690&4|310&4|289&4|335&2|270&5|750&4|892&1|266&2|901&1|893&3
317&5|197&5|427&4|528&5|268&5|269&3|127&2|631&5|246&5|645&3|86&4|180&1;735&4|423&4|87&5|511&4;317&5|197&5|427&4|528&5|268&5|269&3|127&2|631&5|246&5|645&3|86&4|180&1|735&4|423&4|87&5|511&4
735&2|53&3|298&4|239&4|450&3|393&4|1&4|1057&3|215&5|7&5|1035&4|222&5;25&4|559&4|797&4|235&1;735&2|53&3|298&4|239&4|450&3|393&4|1&4|1057&3|215&5|7&5|1035&4|222&5|25&4|559&4|797&4|235&1
204&5|942&3|1152&4|215&4|1095&3|993&5|122&1|64&5|423&4|7&4|1016&4|946&5;1517&4|411&4|1520&3|623&5;204&5|942&3|1152&4|215&4|1095&3|993&5|122&1|64&5|423&4|7&4|1016&4|946&5|1517&4|411&4|1520&3|623&5
261&2|333&3|687&2|259&2|325&1|876&2|313&5|326&4|292&4|322&3|299&3|243&3;330&2|358&1|457&2|1025&3;261&2|333&3|687&2|259&2|325&1|876&2|313&5|326&4|292&4|322&3|299&3|243&3|330&2|358&1|457&2|1025&3
405&5|252&3|597&4|50&5|33&4|117&5|928&3|596&3|143&1|748&3|257&5|271&4;423&4|168&5|172&5|1014&3;405&5|252&3|597&4|50&5|33&4|117&5|928&3|596&3|143&1|748&3|257&5|271&4|423&4|168&5|172&5|1014&3
358&1|315&3|324&3|302&5|895&2|288&5|313&5|333&5|328&2|258&3|271&2|538&3;316&3|343&4|748&1|751&1;358&1|315&3|324&3|302&5|895&2|288&5|313&5|333&5|328&2|258&3|271&2|538&3|316&3|343&4|748&1|751&1
100&5|286&4|124&4|9&4|15&3|847&4|275&4|20&5|253&5|1068&2|116&5|283&3;936&5|285&5|508&5|269&4;100&5|286&4|124&4|9&4|15&3|847&4|275&4|20&5|253&5|1068&2|116&5|283&3|936&5|285&5|508&5|269&4
475&4|470&5|508&4|324&4|135&5|60&4|334&3|1039&3|288&5|79&4|186&4|56&5;338&3|689&3|1067&4|92&4;475&4|470&5|508&4|324&4|135&5|60&4|334&3|1039&3|288&5|79&4|186&4|56&5|338&3|689&3|1067&4|92&4
32&5|136&5|299&4|490&4|135&4|328&2|811&4|1021&3|306&3|175&5|1022&5|271&4;153&4|1019&5|498&4|504&5;32&5|136&5|299&4|490&4|135&4|328&2|811&4|1021&3|306&3|175&5|1022&5|271&4|153&4|1019&5|498&4|504&5
643&3|1005&4|221&5|855&3|179&4|582&5|268&3|1396&4|1021&5|638&3|357&4|1529&3;208&2|469&4|318&5|114&5;643&3|1005&4|221&5|855&3|179&4|582&5|268&3|1396&4|1021&5|638&3|357&4|1529&3|208&2|469&4|318&5|114&5
58&4|642&5|137&2|1524&4|265&3|290&3|494&4|319&3|222&4|512&4|537&4|882&3;961&4|1263&4|969&4|553&1;58&4|642&5|137&2|1524&4|265&3|290&3|494&4|319&3|222&4|512&4|537&4|882&3|961&4|1263&4|969&4|553&1
257&3|153&2|168&3|275&4|131&4|133&2|423&2|1149&3|211&2|228&3|662&2|659&3;491&2|1115&2|9&3|214&1;257&3|153&2|168&3|275&4|131&4|133&2|423&2|1149&3|211&2|228&3|662&2|659&3|491&2|1115&2|9&3|214&1
659&4|121&4|926&3|147&3|100&2|173&5|228&5|205&5|226&3|423&4|231&3|175&4;177&4|969&4|527&5|164&5;659&4|121&4|926&3|147&3|100&2|173&5|228&5|205&5|226&3|423&4|231&3|175&4|177&4|969&4|527&5|164&5
300&2|301&3|269&3|302&3|347&4|303&4|272&3|903&2|316&3|340&3|327&2|896&5;338&3|245&1|326&1|689&2;300&2|301&3|269&3|302&3|347&4|303&4|272&3|903&2|316&3|340&3|327&2|896&5|338&3|245&1|326&1|689&2
988&1|242&4|990&2|300&5|763&4|326&1|235&4|275&4|742&4|289&5|295&3|250&4;151&4|824&3|1016&4|936&3;988&1|242&4|990&2|300&5|763&4|326&1|235&4|275&4|742&4|289&5|295&3|250&4|151&4|824&3|1016&4|936&3
243&1|245&2|276&4|1&4|125&1|9&3|237&2|13&3|919&4|111&3|475&4|7&4;222&3|117&3|628&1|508&3;243&1|245&2|276&4|1&4|125&1|9&3|237&2|13&3|919&4|111&3|475&4|7&4|222&3|117&3|628&1|508&3
117&4|15&5|328&3|275&4|300&4|181&5|294&2|864&2|258&4|123&4|127&5|1197&3;121&5|257&5|293&4|591&4;117&4|15&5|328&3|275&4|300&4|181&5|294&2|864&2|258&4|123&4|127&5|1197&3|121&5|257&5|293&4|591&4
1073&5|300&4|226&4|589&4|118&3|111&4|1014&3|661&5|11&5|228&5|343&2|285&4;523&4|419&4|190&5|169&5;1073&5|300&4|226&4|589&4|118&3|111&4|1014&3|661&5|11&5|228&5|343&2|285&4|523&4|419&4|190&5|169&5
306&4|257&4|282&4|269&4|291&3|284&4|312&3|1&4|302&5|280&3|275&5|287&3;281&3|289&3|300&4|314&1;306&4|257&4|282&4|269&4|291&3|284&4|312&3|1&4|302&5|280&3|275&5|287&3|281&3|289&3|300&4|314&1
402&4|382&4|54&4|926&1|531&4|148&4|276&4|172&4|286&5|569&3|25&4|684&3;1058&3|554&3|2&2|918&3;402&4|382&4|54&4|926&1|531&4|148&4|276&4|172&4|286&5|569&3|25&4|684&3|1058&3|554&3|2&2|918&3
322&4|259&5|288&5|248&5|323&4|875&3|260&5|268&4|250&4|748&5|286&5|410&5;508&5|1094&5|1033&4|127&4;322&4|259&5|288&5|248&5|323&4|875&3|260&5|268&4|250&4|748&5|286&5|410&5|508&5|1094&5|1033&4|127&4
58&5|209&4|127&5|469&4|234&4|704&2|284&4|126&4|208&4|509&4|483&5|48&4;517&4|301&1|750&5|529&3;58&5|209&4|127&5|469&4|234&4|704&2|284&4|126&4|208&4|509&4|483&5|48&4|517&4|301&1|750&5|529&3
1022&2|269&3|1260&2|137&4|166&4|1137&5|285&5|50&5|198&3|1129&5|224&4|286&5;151&4|936&4|237&2|245&4;1022&2|269&3|1260&2|137&4|166&4|1137&5|285&5|50&5|198&3|1129&5|224&4|286&5|151&4|936&4|237&2|245&4
514&4|64&5|525&2|198&5|79&4|96&4|42&1|8&5|91&5|435&3|98&5|183&4;181&5|83&3|1232&5|170&5;514&4|64&5|525&2|198&5|79&4|96&4|42&1|8&5|91&5|435&3|98&5|183&4|181&5|83&3|1232&5|170&5
644&4|111&4|286&5|269&5|191&5|180&4|869&4|631&4|237&5|100&4|69&4|153&4;535&4|274&4|280&3|762&5;644&4|111&4|286&5|269&5|191&5|180&4|869&4|631&4|237&5|100&4|69&4|153&4|535&4|274&4|280&3|762&5
702&4|306&3|14&5|748&4|271&4|300&3|86&4|382&3|173&4|451&4|402&3|955&4;241&4|159&4|98&5|31&4;702&4|306&3|14&5|748&4|271&4|300&3|86&4|382&3|173&4|451&4|402&3|955&4|241&4|159&4|98&5|31&4
159&3|56&4|232&4|226&3|123&4|457&1|499&4|229&2|708&3|281&3|705&4|71&3;1209&3|1119&3|1296&2|412&4;159&3|56&4|232&4|226&3|123&4|457&1|499&4|229&2|708&3|281&3|705&4|71&3|1209&3|1119&3|1296&2|412&4
717&3|423&5|132&5|197&4|116&4|134&5|56&5|153&5|24&5|443&4|1047&3|47&5;563&3|542&4|541&2|422&3;717&3|423&5|132&5|197&4|116&4|134&5|56&5|153&5|24&5|443&4|1047&3|47&5|563&3|542&4|541&2|422&3
97&4|526&5|520&3|87&4|258&3|58&4|614&3|99&3|300&3|1020&3|602&4|125&4;1473&5|163&5|237&2|265&4;97&4|526&5|520&3|87&4|258&3|58&4|614&3|99&3|300&3|1020&3|602&4|125&4|1473&5|163&5|237&2|265&4
47&5|195&4|609&4|172&3|511&3|519&3|64&5|971&2|419&3|156&2|429&3|207&4;61&3|22&3|631&5|44&4;47&5|195&4|609&4|172&3|511&3|519&3|64&5|971&2|419&3|156&2|429&3|207&4|61&3|22&3|631&5|44&4
144&4|436&2|123&3|23&2|651&3|82&2|79&4|22&3|550&4|228&3|809&3|161&5;780&4|1218&5|358&4|735&3;144&4|436&2|123&3|23&2|651&3|82&2|79&4|22&3|550&4|228&3|809&3|161&5|780&4|1218&5|358&4|735&3
135&4|69&4|172&4|452&3|414&5|178&5|402&3|116&4|524&4|443&4|164&4|144&5;219&3|393&4|93&3|300&3;135&4|69&4|172&4|452&3|414&5|178&5|402&3|116&4|524&4|443&4|164&4|144&5|219&3|393&4|93&3|300&3
475&4|188&3|47&4|86&2|237&3|1&2|13&4|328&3|176&5|924&1|151&5|241&1;708&3|1133&4|569&1|448&2;475&4|188&3|47&4|86&2|237&3|1&2|13&4|328&3|176&5|924&1|151&5|241&1|708&3|1133&4|569&1|448&2
882&2|678&1|286&5|302&4|990&2|339&2|303&3|310&2|311&3|270&3|242&4|327&3;258&2|288&1|748&2|995&2;882&2|678&1|286&5|302&4|990&2|339&2|303&3|310&2|311&3|270&3|242&4|327&3|258&2|288&1|748&2|995&2
100&4|347&3|197&3|191&4|511&4|166&5|483&3|510&4|237&2|527&4|863&4|127&3;642&4|96&4|234&4|183&4;100&4|347&3|197&3|191&4|511&4|166&5|483&3|510&4|237&2|527&4|863&4|127&3|642&4|96&4|234&4|183&4
240&3|99&4|283&3|129&2|382&2|159&2|91&5|433&5|418&3|477&2|38&1|758&1;821&1|90&1|1036&2|546&1;240&3|99&4|283&3|129&2|382&2|159&2|91&5|433&5|418&3|477&2|38&1|758&1|821&1|90&1|1036&2|546&1
136&5|193&4|286&4|603&5|98&5|237&5|245&2|492&4|64&4|566&4|418&5|606&5;1203&5|1443&4|172&5|143&2;136&5|193&4|286&4|603&5|98&5|237&5|245&2|492&4|64&4|566&4|418&5|606&5|1203&5|1443&4|172&5|143&2
895&4|304&4|750&2|302&2|331&3|362&1|313&3|328&1|346&2|301&2|258&5|315&2;288&5|269&5|1313&2|327&1;895&4|304&4|750&2|302&2|331&3|362&1|313&3|328&1|346&2|301&2|258&5|315&2|288&5|269&5|1313&2|327&1
313&3|302&5|883&4|305&4|311&5|307&5|327&4|347&1|178&4|523&5|344&5|1176&4;520&5|234&4|124&5|9&5;313&3|302&5|883&4|305&4|311&5|307&5|327&4|347&1|178&4|523&5|344&5|1176&4|520&5|234&4|124&5|9&5
246&3|333&3|1663&2|683&1|689&3|298&4|294&3|1038&4|338&2|1278&4|532&2|255&4;1391&4|1160&2|1610&1|1644&2;246&3|333&3|1663&2|683&1|689&3|298&4|294&3|1038&4|338&2|1278&4|532&2|255&4|1391&4|1160&2|1610&1|1644&2
168&4|273&3|509&4|818&4|87&3|173&4|432&5|194&4|479&4|866&2|206&2|41&4;693&4|192&5|12&4|11&2;168&4|273&3|509&4|818&4|87&3|173&4|432&5|194&4|479&4|866&2|206&2|41&4|693&4|192&5|12&4|11&2
747&5|825&5|227&5|49&5|924&2|21&3|401&4|465&3|748&5|633&4|421&5|193&5;313&5|265&4|400&5|323&4;747&5|825&5|227&5|49&5|924&2|21&3|401&4|465&3|748&5|633&4|421&5|193&5|313&5|265&4|400&5|323&4
9&3|763&4|435&5|1028&4|208&5|216&4|79&4|514&1|585&2|746&2|1118&1|239&2;118&4|159&3|636&4|739&3;9&3|763&4|435&5|1028&4|208&5|216&4|79&4|514&1|585&2|746&2|1118&1|239&2|118&4|159&3|636&4|739&3
161&4|288&4|55&5|1485&4|387&1|317&5|559&3|152&5|95&3|137&5|658&3|1512&1;665&2|940&2|739&3|774&4;161&4|288&4|55&5|1485&4|387&1|317&5|559&3|152&5|95&3|137&5|658&3|1512&1|665&2|940&2|739&3|774&4
260&3|5&3|183&4|443&4|258&4|39&3|227&3|294&4|234&4|566&3|744&4|228&4;554&3|38&3|226&3|1217&2;260&3|5&3|183&4|443&4|258&4|39&3|227&3|294&4|234&4|566&3|744&4|228&4|554&3|38&3|226&3|1217&2
1248&2|198&4|508&2|572&2|91&2|291&3|411&2|55&3|1214&2|97&4|1240&4|182&4;569&2|250&3|27&1|174&5;1248&2|198&4|508&2|572&2|91&2|291&3|411&2|55&3|1214&2|97&4|1240&4|182&4|569&2|250&3|27&1|174&5
617&4|136&4|99&5|481&3|1124&4|507&3|153&5|607&4|480&5|218&4|506&4|523&4;182&3|191&4|151&5|1451&4;617&4|136&4|99&5|481&3|1124&4|507&3|153&5|607&4|480&5|218&4|506&4|523&4|182&3|191&4|151&5|1451&4
82&4|185&4|213&4|479&4|422&2|410&4|193&4|174&5|250&3|77&3|845&3|83&5;298&4|1618&1|748&3|402&4;82&4|185&4|213&4|479&4|422&2|410&4|193&4|174&5|250&3|77&3|845&3|83&5|298&4|1618&1|748&3|402&4
298&3|272&3|333&3|1025&2|930&3|685&3|345&4|1399&2|281&3|300&4|1016&2|258&4;127&4|257&4|827&3|181&4;298&3|272&3|333&3|1025&2|930&3|685&3|345&4|1399&2|281&3|300&4|1016&2|258&4|127&4|257&4|827&3|181&4
682&3|56&5|240&3|844&2|421&2|321&3|197&4|285&4|483&3|642&4|10&3|960&2;537&3|792&4|36&1|587&4;682&3|56&5|240&3|844&2|421&2|321&3|197&4|285&4|483&3|642&4|10&3|960&2|537&3|792&4|36&1|587&4
902&5|873&3|289&5|876&3|678&4|313&5|304&4|323&4|328&5|294&5|342&5|878&4;286&4|326&5|269&5|331&4;902&5|873&3|289&5|876&3|678&4|313&5|304&4|323&4|328&5|294&5|342&5|878&4|286&4|326&5|269&5|331&4
137&2|93&4|293&4|288&3|286&1|591&3|284&3|248&3|762&3|1012&4|628&3|276&5;181&4|1017&3|150&5|1008&4;137&2|93&4|293&4|288&3|286&1|591&3|284&3|248&3|762&3|1012&4|628&3|276&5|181&4|1017&3|150&5|1008&4
474&3|508&3|659&4|70&2|357&5|510&4|660&3|275&4|520&4|485&4|97&5|210&5;318&5|385&4|133&5|515&3;474&3|508&3|659&4|70&2|357&5|510&4|660&3|275&4|520&4|485&4|97&5|210&5|318&5|385&4|133&5|515&3
923&4|423&4|168&5|647&5|523&4|174&5|511&5|828&4|100&4|215&5|192&5|504&5;64&5|644&5|249&5|806&4;923&4|423&4|168&5|647&5|523&4|174&5|511&5|828&4|100&4|215&5|192&5|504&5|64&5|644&5|249&5|806&4
1404&2|186&3|174&4|1065&4|483&4|196&4|28&4|177&3|750&4|50&4|190&5|222&3;443&4|744&3|265&3|506&3;1404&2|186&3|174&4|1065&4|483&4|196&4|28&4|177&3|750&4|50&4|190&5|222&3|443&4|744&3|265&3|506&3
421&4|418&5|178&4|290&5|649&4|389&3|241&5|196&5|328&4|566&4|399&3|842&3;68&5|401&4|208&4|828&3;421&4|418&5|178&4|290&5|649&4|389&3|241&5|196&5|328&4|566&4|399&3|842&3|68&5|401&4|208&4|828&3
273&4|704&3|334&4|160&4|606&5|603&5|197&5|706&4|153&4|461&3|144&4|135&5;489&4|85&4|510&5|504&5;273&4|704&3|334&4|160&4|606&5|603&5|197&5|706&4|153&4|461&3|144&4|135&5|489&4|85&4|510&5|504&5
603&5|419&4|650&2|135&3|174&4|611&5|659&5|969&2|228&5|199&4|949&2|705&5;161&2|8&4|484&5|175&2;603&5|419&4|650&2|135&3|174&4|611&5|659&5|969&2|228&5|199&4|949&2|705&5|161&2|8&4|484&5|175&2
705&4|180&5|357&5|522&4|427&5|508&4|195&4|121&4|42&5|117&4|208&5|257&3;55&4|509&4|302&4|89&4;705&4|180&5|357&5|522&4|427&5|508&4|195&4|121&4|42&5|117&4|208&5|257&3|55&4|509&4|302&4|89&4
511&5|603&4|22&3|321&3|289&4|180&5|527&4|1103&5|135&4|423&5|357&5|514&5;582&5|187&4|651&5|55&3;511&5|603&4|22&3|321&3|289&4|180&5|527&4|1103&5|135&4|423&5|357&5|514&5|582&5|187&4|651&5|55&3
151&5|348&1|183&3|125&3|97&4|222&3|508&3|117&1|480&5|313&4|479&5|271&2;82&4|427&4|490&5|522&4;151&5|348&1|183&3|125&3|97&4|222&3|508&3|117&1|480&5|313&4|479&5|271&2|82&4|427&4|490&5|522&4
199&4|339&2|483&4|65&4|607&5|276&4|127&4|87&3|343&3|1360&2|171&4|435&3;200&2|1346&3|430&4|97&5;199&4|339&2|483&4|65&4|607&5|276&4|127&4|87&3|343&3|1360&2|171&4|435&3|200&2|1346&3|430&4|97&5
406&2|109&4|222&3|129&4|458&3|405&3|118&2|257&4|273&3|235&3|248&4|628&3;742&3|240&4|3&4|979&3;406&2|109&4|222&3|129&4|458&3|405&3|118&2|257&4|273&3|235&3|248&4|628&3|742&3|240&4|3&4|979&3
238&3|98&5|50&5|243&2|289&5|318&5|945&5|692&3|785&3|513&4|175&2|181&5;571&3|722&3|734&3|997&2;238&3|98&5|50&5|243&2|289&5|318&5|945&5|692&3|785&3|513&4|175&2|181&5|571&3|722&3|734&3|997&2
657&4|343&4|192&4|205&5|328&4|313&4|689&5|28&4|211&2|289&4|483&4|480&4;99&2|161&3|230&4|82&5;657&4|343&4|192&4|205&5|328&4|313&4|689&5|28&4|211&2|289&4|483&4|480&4|99&2|161&3|230&4|82&5
202&3|56&3|181&5|50&5|180&3|173&5|651&4|222&3|28&3|144&4|423&4|98&3;531&4|73&3|79&3|168&3;202&3|56&3|181&5|50&5|180&3|173&5|651&4|222&3|28&3|144&4|423&4|98&3|531&4|73&3|79&3|168&3
269&5|288&1|896&3|880&4|357&5|302&5|292&5|216&4|659&5|165&4|210&4|56&4;663&5|496&4|187&5|1065&4;269&5|288&1|896&3|880&4|357&5|302&5|292&5|216&4|659&5|165&4|210&4|56&4|663&5|496&4|187&5|1065&4
83&3|199&4|59&5|902&4|306&3|289&5|211&5|137&5|202&4|665&4|1448&5|1115&4;28&3|589&5|805&4|487&5;83&3|199&4|59&5|902&4|306&3|289&5|211&5|137&5|202&4|665&4|1448&5|1115&4|28&3|589&5|805&4|487&5
340&4|300&3|272&5|237&3|289&3|292&3|315&4|286&4|258&4|269&5|262&3|303&3;294&3|245&3|322&2|325&1;340&4|300&3|272&5|237&3|289&3|292&3|315&4|286&4|258&4|269&5|262&3|303&3|294&3|245&3|322&2|325&1
444&4|448&2|530&4|479&5|121&2|98&4|23&5|451&2|172&5|230&3|1065&3|636&3;157&4|737&3|484&3|1149&5;444&4|448&2|530&4|479&5|121&2|98&4|23&5|451&2|172&5|230&3|1065&3|636&3|157&4|737&3|484&3|1149&5
127&1|245&5|527&4|196&5|286&2|273&4|1079&2|180&5|117&5|521&5|212&5|357&5;522&5|818&5|42&5|652&5;127&1|245&5|527&4|196&5|286&2|273&4|1079&2|180&5|117&5|521&5|212&5|357&5|522&5|818&5|42&5|652&5
690&2|323&3|294&3|333&5|286&2|307&4|315&4|322&4|331&5|258&3|326&5|272&4;682&3|347&5|325&5|271&4;690&2|323&3|294&3|333&5|286&2|307&4|315&4|322&4|331&5|258&3|326&5|272&4|682&3|347&5|325&5|271&4
300&5|294&3|328&2|258&4|321&2|288&4|748&1|879&5|313&4|302&5|336&2|689&5;323&2|683&1|264&1|322&3;300&5|294&3|328&2|258&4|321&2|288&4|748&1|879&5|313&4|302&5|336&2|689&5|323&2|683&1|264&1|322&3
1006&3|405&2|642&4|274&4|715&4|735&3|837&3|191&4|724&4|693&3|237&4|235&2;29&3|739&3|170&5|155&3;1006&3|405&2|642&4|274&4|715&4|735&3|837&3|191&4|724&4|693&3|237&4|235&2|29&3|739&3|170&5|155&3
117&3|307&5|313&5|310&4|181&5|345&5|245&5|319&3|1237&5|343&5|250&5|689&5;597&5|841&5|405&5|252&5;117&3|307&5|313&5|310&4|181&5|345&5|245&5|319&3|1237&5|343&5|250&5|689&5|597&5|841&5|405&5|252&5
151&3|678&3|100&4|515&5|24&3|1&5|118&4|127&5|252&3|50&5|121&4|866&4;237&4|225&3|411&3|1047&3;151&3|678&3|100&4|515&5|24&3|1&5|118&4|127&5|252&3|50&5|121&4|866&4|237&4|225&3|411&3|1047&3
645&4|1021&3|135&3|699&4|187&4|117&4|232&3|549&4|46&2|216&3|282&3|481&3;696&3|569&4|31&4|186&4;645&4|1021&3|135&3|699&4|187&4|117&4|232&3|549&4|46&2|216&3|282&3|481&3|696&3|569&4|31&4|186&4
99&3|463&4|746&3|464&3|1147&4|23&4|150&3|65&3|64&5|258&3|1298&3|678&2;229&2|401&1|779&1|206&4;99&3|463&4|746&3|464&3|1147&4|23&4|150&3|65&3|64&5|258&3|1298&3|678&2|229&2|401&1|779&1|206&4
1230&2|781&3|845&1|393&3|585&3|1094&1|94&3|1011&2|367&3|232&3|42&5|780&3;124&1|237&5|288&3|275&4;1230&2|781&3|845&1|393&3|585&3|1094&1|94&3|1011&2|367&3|232&3|42&5|780&3|124&1|237&5|288&3|275&4
127&5|98&5|24&2|131&4|778&3|99&3|582&4|174&5|210&3|2&2|82&4|566&3;148&3|68&3|88&4|1039&4;127&5|98&5|24&2|131&4|778&3|99&3|582&4|174&5|210&3|2&2|82&4|566&3|148&3|68&3|88&4|1039&4
293&4|25&4|276&4|1007&4|508&2|327&3|124&4|303&4|257&4|127&5|285&4|150&5;547&3|275&5|1129&4|116&5;293&4|25&4|276&4|1007&4|508&2|327&3|124&4|303&4|257&4|127&5|285&4|150&5|547&3|275&5|1129&4|116&5
89&4|781&4|434&5|454&3|740&4|112&2|575&3|95&3|399&4|152&5|619&3|252&4;217&2|566&4|441&3|379&1;89&4|781&4|434&5|454&3|740&4|112&2|575&3|95&3|399&4|152&5|619&3|252&4|217&2|566&4|441&3|379&1
535&4|100&3|275&4|116&5|106&4|121&4|281&4|151&2|50&2|274&4|16&1|405&3;165&5|265&3|153&2|171&1;535&4|100&3|275&4|116&5|106&4|121&4|281&4|151&2|50&2|274&4|16&1|405&3|165&5|265&3|153&2|171&1
685&3|7&4|161&5|176&4|568&3|50&5|550&4|273&3|147&3|82&1|405&4|118&2;89&4|127&4|233&4|1027&3;685&3|7&4|161&5|176&4|568&3|50&5|550&4|273&3|147&3|82&1|405&4|118&2|89&4|127&4|233&4|1027&3
313&2|237&4|124&5|137&5|276&5|258&5|127&5|303&4|298&4|56&4|15&4|19&4;223&4|747&4|318&5|204&4;313&2|237&4|124&5|137&5|276&5|258&5|127&5|303&4|298&4|56&4|15&4|19&4|223&4|747&4|318&5|204&4
451&2|855&5|588&4|143&5|210&3|93&4|173&5|190&5|659&3|238&2|168&4|154&4;176&4|203&4|374&1|185&5;451&2|855&5|588&4|143&5|210&3|93&4|173&5|190&5|659&3|238&2|168&4|154&4|176&4|203&4|374&1|185&5
282&3|229&3|79&5|129&5|63&3|176&4|919&4|26&4|157&4|467&4|54&3|101&4;451&3|1231&3|384&3|631&4;282&3|229&3|79&5|129&5|63&3|176&4|919&4|26&4|157&4|467&4|54&3|101&4|451&3|1231&3|384&3|631&4
682&4|326&4|358&3|294&5|333&5|748&5|332&4|1393&3|286&2|289&1|300&5|302&3;873&4|261&1|292&3|881&4;682&4|326&4|358&3|294&5|333&5|748&5|332&4|1393&3|286&2|289&1|300&5|302&3|873&4|261&1|292&3|881&4
216&5|385&5|405&4|1188&2|222&4|367&4|849&5|804&3|585&4|715&3|410&4|188&4;496&5|423&3|791&2|598&2;216&5|385&5|405&4|1188&2|222&4|367&4|849&5|804&3|585&4|715&3|410&4|188&4|496&5|423&3|791&2|598&2
97&5|507&3|168&1|1039&4|1087&1|69&5|478&4|215&5|494&3|133&1|56&2|213&5;357&5|1275&1|378&1|434&1;97&5|507&3|168&1|1039&4|1087&1|69&5|478&4|215&5|494&3|133&1|56&2|213&5|357&5|1275&1|378&1|434&1
480&5|584&3|50&4|1&5|211&3|66&5|181&4|186&4|418&5|174&4|180&3|196&4;662&2|1133&5|274&4|428&1;480&5|584&3|50&4|1&5|211&3|66&5|181&4|186&4|418&5|174&4|180&3|196&4|662&2|1133&5|274&4|428&1
